########################## start user prologue 29037 ###########################
Created QTMPDIR
QTMPDIR=/local/1422723
##########################  end user prologue  29037 ###########################
This is the Sara Fraija Space
Activate HAWC enviroment
>>> Configuration file found, will be ignored in favour of command line
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 101.042 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 103.395 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 105.803 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 108.268 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 110.79 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 113.37 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 116.011 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 118.713 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 121.479 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 124.308 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 127.204 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 130.167 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 133.199 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 136.301 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 139.476 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 142.725 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 146.049 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 149.451 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 152.933 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 156.495 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 160.14 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 163.87 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 167.687 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 171.593 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 175.59 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 179.68 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 183.865 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 188.148 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 192.531 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 197.015 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 201.604 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 206.3 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 211.106 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 216.023 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 221.055 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 226.204 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 231.473 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 236.865 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 242.382 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 248.028 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 253.805 is above maximum 10^2 TeV.
